username,Fanduel,Pointsbetus,Betmgm,Draftkings,Barstool,Twinspires,Bovada,Fanduel ,Wynnbet
Colinflanders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ogwieny,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Sbeckwes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ashmoneyman,0.0,-6.59,0.0,23.77064220183486,0.0,0.0,0.0,,
twillia33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ben21mem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
nicothedon,0.0,0.0,-2.14,0.0,0.0,0.0,0.0,0.0,
LizardLocker,-11.63,0.0,0.0,13.274285714285714,0.0,0.0,0.0,0.0,
henrydyer,-2.47,0.0,-14.65,0.0,0.0,0.0,0.0,0.0,0.0
m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
micah,-107.71,234.5664201183432,-81.5,130.91857142857145,-124.0,33.333333333333336,-7.98,0.0,0.0
youngfeiler,-388.52920219125775,45.63916666666667,688.4822410761055,-133.59430521122823,-24.749701492537312,23.0825,60.429524448564905,21.34,87.09016393442623
